E,count
1e-09,96.0
1.125249699032773e-09,137.0
1.2661868851733465e-09,152.0
1.4247764114605527e-09,177.0
1.6032292281849814e-09,215.0
1.8040332064956955e-09,220.0
2.02998782265441e-09,290.0
2.2842431864820694e-09,320.0
2.570343958106611e-09,440.0
2.892278765270171e-09,496.0
3.2545358101391404e-09,594.0
3.6621654408504504e-09,654.0
4.1208505601251924e-09,786.0
4.636985852539907e-09,874.0
5.217766934989757e-09,1087.0
5.871290673220379e-09,1282.0
6.60666806297516e-09,1397.0
7.434151249472233e-09,1694.0
8.365276456032779e-09,1998.0
9.413024814476828e-09,2218.0
1.0592003339478054e-08,2576.0
1.1918648569901807e-08,2815.0
1.3411455716159428e-08,3410.0
1.5091236508199762e-08,3827.0
1.698140933888418e-08,4157.0
1.9108325747731747e-08,4518.0
2.1501637796655338e-08,4968.0
2.419471145939812e-08,5495.0
2.722509178787252e-08,5955.0
3.063502634044317e-08,6386.0
3.447205416944476e-08,6785.0
3.878966857920917e-08,6959.0
4.364806289433613e-08,7234.0
4.9114969635215286e-08,7471.0
5.526660480002979e-08,7370.0
6.218873041779674e-08,7496.0
6.997785018585604e-08,7081.0
7.8742554860595e-08,6614.0
8.860503615795615e-08,6111.0
9.970279026952814e-08,5651.0
1.1219053474351424e-07,4908.0
1.2624236545446528e-07,4274.0
1.420541837328224e-07,3882.0
1.5984642749170467e-07,3258.0
1.7986714442650504e-07,2944.0
2.0239545013180915e-07,2512.0
2.2774541934642087e-07,2198.0
2.562704645756528e-07,1986.0
2.883682631347423e-07,1911.0
3.2448630130297224e-07,1782.0
3.6512811288142727e-07,1630.0
4.1086029912823045e-07,1673.0
4.6232042793855643e-07,1632.0
5.202259223945646e-07,1645.0
5.853840626035306e-07,1626.0
6.587032402632048e-07,1619.0
7.412056228580837e-07,1509.0
8.340414040424578e-07,1677.0
9.385048388796472e-07,1634.0
1.0560522874901241e-06,1501.0
1.1883225186611338e-06,1524.0
1.3371595564773079e-06,1570.0
1.504638388484887e-06,1533.0
1.693093893795776e-06,1545.0
1.9051533944279229e-06,1513.0
2.1437732836912863e-06,1501.0
2.4122802422681197e-06,1533.0
2.7144176165949066e-06,1518.0
3.054397606122676e-06,1527.0
3.436959987015964e-06,1542.0
3.8674381909773975e-06,1438.0
4.351833660425169e-06,1514.0
4.896899516634113e-06,1532.0
5.5102347072862675e-06,1554.0
6.200389945973814e-06,1484.0
6.976986920592866e-06,1515.0
7.850852432552733e-06,1554.0
8.834169336880678e-06,1572.0
9.940646387529535e-06,1569.0
1.1185709355758834e-05,1521.0
1.2586716086035703e-05,1587.0
1.4163198487622637e-05,1550.0
1.59371348355388e-05,1511.0
1.793325617713476e-05,1538.0
2.017939111599851e-05,1458.0
2.2706853779941937e-05,1517.0
2.5550880381860852e-05,1527.0
2.875112045971131e-05,1581.0
3.235218964414523e-05,1563.0
3.6404291660125615e-05,1508.0
4.096391823405764e-05,1555.0
4.609463666407649e-05,1596.0
5.18679760332771e-05,1654.0
5.8364424420884145e-05,1645.0
6.567455101382091e-05,1626.0
7.390026876241448e-05,1604.0
8.315625518334795e-05,1657.0
9.357155111775476e-05,1702.0
0.00010529135973328329,1720.0
0.00011847907085062847,1773.0
0.0001333185388163523,1711.0
0.0001500166456785895,1752.0
0.000168806185399739,1760.0
0.0001899491093159268,1756.0
0.00021374017808928998,1856.0
0.00024051107106618535,1956.0
0.000270635010331275,2113.0
0.00030453196392299863,1986.0
0.00034267450075021354,2252.0
0.00038559437883538354,2245.0
0.00043388995873324445,2420.0
0.0004882345454779257,2430.0
0.0005493857753564387,2481.0
0.0006181961783727193,2543.0
0.000695625063657113,2784.0
0.00078275189351982,2901.0
0.0008807913326005107,3183.0
0.0009911101819193998,3197.0
0.0011152464339131217,3362.0
0.0012549307141081138,3494.0
0.001412110408357141,3833.0
0.0015889768120049192,3443.0
0.0017879956794785907,3417.0
0.0020119416002051826,3666.0
0.002263936680102398,4106.0
0.0025474940679144787,4333.0
0.002866566933208542,4579.0
0.0032256035788502118,4989.0
0.0036296094563002365,5137.0
0.004084216948308348,5682.0
0.00459576389186852,6108.0
0.005171381936150739,6618.0
0.005819095967237138,7285.0
0.006547935985776413,8044.0
0.0073680629972807735,8798.0
0.008290910670144704,9685.0
0.009329344736287935,10457.0
0.010497842356681006,11266.0
0.0118126939523488,12372.0
0.013292230314646747,13476.0
0.014957078161030554,15245.0
0.016830447699109297,16454.0
0.018938456208009564,18167.0
0.021310492148208116,19747.0
0.023979624876011456,22800.0
0.02698306567465069,24967.0
0.030362686529382243,26823.0
0.0341656038790138,29138.0
0.038444835482133226,31075.0
0.04326003955563489,33624.0
0.04867834649012402,36415.0
0.0547752947374251,38743.0
0.06163588391771917,40665.0
0.06935575982803244,43703.0
0.07804254787268279,45455.0
0.0878173535054871,47699.0
0.09881645060190401,49791.0
0.11119318129927938,52300.0
0.1251200937915107,54453.0
0.14079134788184977,56813.0
0.1584254218304699,59460.0
0.17826815823387637,61714.0
0.20059619139979618,62739.0
0.2257208039997412,63828.0
0.25399226676614434,63113.0
0.2858047217352558,61688.0
0.321601677114742,59904.0
0.36188219038179853,55901.0
0.40720782581243953,53453.0
0.4582104834392375,51212.0
0.5156012085836634,49628.0
0.5801801047797014,48400.0
0.6528474882881617,46508.0
0.7346164397105559,43330.0
0.8266269276888304,40066.0
0.9301617015942423,37995.0
1.0466641747707375,35863.0
1.1777585476491583,33316.0
1.3252724512754912,31565.0
1.491262426934172,29354.0
1.67804259708656,27578.0
1.8882169273358247,25895.0
2.1247155291932245,24355.0
2.3908355097549348,23398.0
2.690286937788607,21907.0
3.027244567058431,20340.0
3.4064060379810974,19906.0
3.8330573690216507,20291.0
4.313146650866966,10621.0
4.853366970772266,8233.0
5.461249723157095,7012.0
6.145269607325337,5728.0
6.914962776118083,4315.0
7.781059782649702,3475.0
8.755635178582592,2489.0
9.852275849540822,1555.0
11.086270434483671,936.0
12.474822469798681,452.0
14.037290229628242,178.0
15.795456606124866,48.0
17.773832792127234,0.0
