E,count
1e-09,72.0
1.125249699032773e-09,97.0
1.2661868851733465e-09,123.0
1.4247764114605527e-09,139.0
1.6032292281849814e-09,156.0
1.8040332064956955e-09,197.0
2.02998782265441e-09,199.0
2.2842431864820694e-09,226.0
2.570343958106611e-09,301.0
2.892278765270171e-09,379.0
3.2545358101391404e-09,434.0
3.6621654408504504e-09,463.0
4.1208505601251924e-09,588.0
4.636985852539907e-09,683.0
5.217766934989757e-09,762.0
5.871290673220379e-09,927.0
6.60666806297516e-09,1136.0
7.434151249472233e-09,1271.0
8.365276456032779e-09,1400.0
9.413024814476828e-09,1698.0
1.0592003339478054e-08,1942.0
1.1918648569901807e-08,2213.0
1.3411455716159428e-08,2541.0
1.5091236508199762e-08,2827.0
1.698140933888418e-08,3111.0
1.9108325747731747e-08,3514.0
2.1501637796655338e-08,3842.0
2.419471145939812e-08,4158.0
2.722509178787252e-08,4562.0
3.063502634044317e-08,4637.0
3.447205416944476e-08,5017.0
3.878966857920917e-08,5278.0
4.364806289433613e-08,5497.0
4.9114969635215286e-08,5544.0
5.526660480002979e-08,5348.0
6.218873041779674e-08,5266.0
6.997785018585604e-08,5063.0
7.8742554860595e-08,4685.0
8.860503615795615e-08,4407.0
9.970279026952814e-08,3864.0
1.1219053474351424e-07,3526.0
1.2624236545446528e-07,2971.0
1.420541837328224e-07,2614.0
1.5984642749170467e-07,2281.0
1.7986714442650504e-07,1951.0
2.0239545013180915e-07,1807.0
2.2774541934642087e-07,1537.0
2.562704645756528e-07,1423.0
2.883682631347423e-07,1297.0
3.2448630130297224e-07,1317.0
3.6512811288142727e-07,1316.0
4.1086029912823045e-07,1243.0
4.6232042793855643e-07,1194.0
5.202259223945646e-07,1226.0
5.853840626035306e-07,1167.0
6.587032402632048e-07,1170.0
7.412056228580837e-07,1183.0
8.340414040424578e-07,1173.0
9.385048388796472e-07,1121.0
1.0560522874901241e-06,1175.0
1.1883225186611338e-06,1145.0
1.3371595564773079e-06,1167.0
1.504638388484887e-06,1141.0
1.693093893795776e-06,1136.0
1.9051533944279229e-06,1154.0
2.1437732836912863e-06,1217.0
2.4122802422681197e-06,1132.0
2.7144176165949066e-06,1133.0
3.054397606122676e-06,1074.0
3.436959987015964e-06,1080.0
3.8674381909773975e-06,1133.0
4.351833660425169e-06,1113.0
4.896899516634113e-06,1101.0
5.5102347072862675e-06,1099.0
6.200389945973814e-06,1130.0
6.976986920592866e-06,1135.0
7.850852432552733e-06,1193.0
8.834169336880678e-06,1121.0
9.940646387529535e-06,1151.0
1.1185709355758834e-05,1123.0
1.2586716086035703e-05,1112.0
1.4163198487622637e-05,1083.0
1.59371348355388e-05,1112.0
1.793325617713476e-05,1136.0
2.017939111599851e-05,1115.0
2.2706853779941937e-05,1118.0
2.5550880381860852e-05,1220.0
2.875112045971131e-05,1191.0
3.235218964414523e-05,1088.0
3.6404291660125615e-05,1115.0
4.096391823405764e-05,1107.0
4.609463666407649e-05,1201.0
5.18679760332771e-05,1197.0
5.8364424420884145e-05,1187.0
6.567455101382091e-05,1203.0
7.390026876241448e-05,1209.0
8.315625518334795e-05,1252.0
9.357155111775476e-05,1207.0
0.00010529135973328329,1303.0
0.00011847907085062847,1272.0
0.0001333185388163523,1347.0
0.0001500166456785895,1439.0
0.000168806185399739,1412.0
0.0001899491093159268,1490.0
0.00021374017808928998,1539.0
0.00024051107106618535,1670.0
0.000270635010331275,1532.0
0.00030453196392299863,1624.0
0.00034267450075021354,1587.0
0.00038559437883538354,1667.0
0.00043388995873324445,1748.0
0.0004882345454779257,1850.0
0.0005493857753564387,1910.0
0.0006181961783727193,2026.0
0.000695625063657113,2165.0
0.00078275189351982,2137.0
0.0008807913326005107,2126.0
