E,count
5e-07,23.0
5.454955327126429e-07,22.0
5.951307524189014e-07,31.0
6.492823336488494e-07,23.0
7.083612249493756e-07,32.0
7.7281576751348e-07,23.0
8.431350975769916e-07,32.0
9.198528584029764e-07,27.0
1.003551250023558e-06,16.0
1.0948654474720813e-06,22.0
1.1944884210348986e-06,25.0
1.3031761951030342e-06,22.0
1.4217535855323297e-06,34.0
1.5511204590521366e-06,40.0
1.6922585622242527e-06,30.0
1.8462389717761e-06,29.0
2.014230222847696e-06,18.0
2.197507176836419e-06,28.0
2.397460696136482e-06,26.0
2.6156081991931885e-06,23.0
2.85360517597289e-06,21.0
3.1132577512377804e-06,32.0
3.3965363909664363e-06,28.0
3.7055908559362277e-06,25.0
4.042766515948071e-06,13.0
4.410622148499857e-06,29.0
4.811949356980233e-06,22.0
5.249793755744384e-06,29.0
5.727478082842591e-06,27.0
6.248627415800413e-06,29.0
6.817196681809744e-06,28.0
7.437500671101352e-06,31.0
8.114246781266143e-06,28.0
8.852570741017265e-06,36.0
9.65807558449514e-06,33.0
1.0536874171886315e-05,27.0
1.1495635579038429e-05,33.0
1.254163570811596e-05,27.0
1.368281250337327e-05,22.0
1.4927826191069629e-05,37.0
1.6286125000678543e-05,35.0
1.7768016866139707e-05,39.0
1.938474765128425e-05,43.0
2.1148586493074912e-05,29.0
2.307291891031861e-05,31.0
2.5172348384439782e-05,38.0
2.746280718319643e-05,44.0
2.996167726836467e-05,43.0
3.268792220494181e-05,38.0
3.566223107290833e-05,51.0
3.890717547367508e-05,55.0
4.244738082271333e-05,42.0
4.6309713228284965e-05,43.0
5.0523483374466075e-05,63.0
5.512066895570546e-05,46.0
6.0136157350939714e-05,56.0
6.560801037888436e-05,60.0
7.157775314369226e-05,61.0
7.80906891629851e-05,62.0
8.519624416972012e-05,87.0
9.294834119695576e-05,70.0
0.00010140580979197987,79.0
0.00011063283246526601,74.0
0.00012069943176229786,81.0
0.00013168200165457607,73.0
0.00014366388728246038,82.0
0.0001567360174494298,82.0
0.00017099759466766964,94.0
0.00018655684799164229,92.0
0.00020353185435278515,100.0
0.0002220514346283294,113.0
0.0002422561312443746,86.0
0.00026429927473210844,91.0
0.00028834814733111336,126.0
0.00031458525247017897,115.0
0.0003432096997595235,132.0
0.00037443871600493546,129.0
0.00040850929371070104,112.0
0.00044567998958156924,118.0
0.0004862328866723266,140.0
0.0005304757350754545,124.0
0.0005787442873922324,131.0
0.0006314048467108502,143.0
0.0006888570464277605,162.0
0.0007515368830079389,169.0
0.0008199200246992298,134.0
0.0008945254213101404,163.0
0.0009759192424451538,185.0
0.0010647191740842774,174.0
0.0011615991061129376,198.0
0.001267294246375215,226.0
0.0013826067000602305,200.0
0.0015084115567628512,194.0
0.0016456635314125191,199.0
0.0017954042094672845,212.0
0.001958769951355758,191.0
0.002137000516152656,211.0
0.0023314484699317726,221.0
0.00254358945019502,214.0
0.002775033364272785,239.0
0.0030275366066786847,230.0
0.0033030153881344363,223.0
0.0036035602774169033,229.0
0.0039314520663833105,219.0
0.004289179078571974,235.0
0.00467945605273109,237.0
0.0051052447445799,198.0
0.005569776403146067,223.0
0.006076576292248957,204.0
0.006629490443218724,201.0
0.0072327148418739615,206.0
0.007890827271253353,180.0
0.008608822051751596,180.0
0.00939214794229719,180.0
0.010246749490198718,311.0
0.01117911214345793,137.0
0.012196311467899918,161.0
0.013306066842622765,179.0
0.014516800041253112,156.0
0.015837699143572567,153.0
0.01727878826253141,125.0
0.018851003615797068,147.0
0.020566276519134404,142.0
0.022437623931441487,111.0
0.02447924723857524,107.0
0.026706640025622244,92.0
0.0291367056554832,83.0
0.03178788554605864,68.0
0.03468029911951156,70.0
0.037835896485663524,74.0
0.041278625018214964,52.0
0.045034611087913214,73.0
0.04913235833181593,50.0
0.05360296396328479,47.0
0.05848035476425728,55.0
0.06380154455070589,85.0
0.06960691506515346,77.0
0.07594052242789932,59.0
0.0828504314725667,63.0
0.09038908050320038,40.0
0.09861367924099852,47.0
0.10758664298064438,55.0
0.11737606625098332,58.0
0.12805623957458925,61.0
0.13970821324783708,71.0
0.15242041241992083,75.0
0.1662893081385709,82.0
0.18142014945493354,97.0
0.19792776214345253,109.0
0.21593742009812833,119.0
0.23558579601804458,98.0
0.2570219985967911,107.0
0.2804087040868494,102.0
0.30592339082623565,132.0
0.3337596860960316,134.0
0.3641288355299186,170.0
0.3972613062268554,157.0
0.4334085357326778,136.0
0.4728448401634072,137.0
0.5158694959507257,138.0
0.5628090110076875,290.0
0.6140196025502298,207.0
0.6698899003782859,178.0
0.7308438961313448,121.0
0.7973441608999046,192.0
0.8698953556108174,141.0
0.9490480608263557,104.0
1.0354029550207475,165.0
1.129615373042577,139.0
1.232400279356503,138.0
1.3445376938055713,130.0
1.4668786110694,126.0
1.6003514587401686,132.0
1.7459691430258506,119.0
1.9048367355494462,149.0
2.078159859578314,130.0
2.267253839325412,94.0
2.4735536817552015,69.0
2.6986249666447515,62.0
2.9441757275430347,62.0
3.2120694137914483,58.0
3.504339031972306,54.0
3.8232025741028814,57.0
4.171079849657207,61.0
4.550610849151457,56.0
4.964675778651625,47.0
5.4164169172422465,54.0
5.909262463329662,48.0
6.446952550745691,38.0
7.033567632084306,19.0
7.673559444668479,18.0
8.37178479414313,6.0
9.13354241207344,6.0
9.964613167255038,0.0
10.871303935894408,0.0
11.86049546358357,0.0
12.93969458228681,0.0
14.117091178606916,0.0
15.401620345654266,0.0
16.803030190181108,0.0
18.33195580955897,0.0
